group_id,duplicate_type,label,kept_source_file,kept_source_line,kept_original_text,duplicate_source_file,duplicate_source_line,duplicate_original_text,normalized_text
023101c5a2711fcbfb7afa586b9eb8eee538918b71d13dd77f029fe5d081e05f,exact,normal,data/normal_sentences.txt,44,这个音乐很好听。,data/normal_sentences.txt,95,这个音乐很好听。,这个音乐很好听。
0576be0b923ec93d82d845fa74d893b65f9202efd589a588b332068c64cd49b0,exact,normal,data/normal_sentences.txt,15,我喜欢听周杰伦的歌。,data/normal_sentences.txt,66,我喜欢听周杰伦的歌。,我喜欢听周杰伦的歌。
0ad291d31a6f56c767ee05049fee7ea069d5f3eb7ba14ae176a724303bd9f63e,exact,normal,data/normal_sentences.txt,43,我们去看日落吧。,data/normal_sentences.txt,94,我们去看日落吧。,我们去看日落吧。
11b7a270319afbb8523e8f07b3abe31356bbd739e07c9b81b78b6a952dae5fc8,exact,normal,data/normal_sentences.txt,51,这个项目进展顺利。,data/normal_sentences.txt,102,这个项目进展顺利。,这个项目进展顺利。
135b9d81b6c4adf617987a220be58a5115c8a9b20907e48ecffe3ceb81813769,exact,normal,data/normal_sentences.txt,50,大家有什么建议吗？,data/normal_sentences.txt,101,大家有什么建议吗？,大家有什么建议吗?
13b5a308a8e536b6be3bd9703402086888b4088fb947f8ad6d7ee762f6d3db49,exact,normal,data/normal_sentences.txt,33,这个菜怎么做？,data/normal_sentences.txt,84,这个菜怎么做？,这个菜怎么做?
1627f638234ebc781c7060536dd70a1c64252979400a19dead7a2b3616f3793f,exact,normal,data/normal_sentences.txt,46,今天食堂的菜不错。,data/normal_sentences.txt,97,今天食堂的菜不错。,今天食堂的菜不错。
1ea857dfb06a45638cb37e5533f3cb5a5f72c6a6f06b1d61f12996212e88e28f,exact,normal,data/normal_sentences.txt,31,周末去哪玩比较好？,data/normal_sentences.txt,82,周末去哪玩比较好？,周末去哪玩比较好?
26c791a8a54e94b915ec338dbd320cbc13ae53238d71ab21ac643a8f6ab243bf,exact,normal,data/normal_sentences.txt,30,祝你生日快乐！,data/normal_sentences.txt,81,祝你生日快乐！,祝你生日快乐!
26cded8e0e81a665f96d166207db825169bcf6c8ed6cb21c86982f92efedcb6b,exact,normal,data/normal_sentences.txt,35,今天加班到很晚才回家。,data/normal_sentences.txt,86,今天加班到很晚才回家。,今天加班到很晚才回家。
2d3a353fbf4c9971bde508cea0672e41bdd24c0869ee853e62c2a290a1993d89,exact,normal,data/normal_sentences.txt,34,明天要考试了，好紧张。,data/normal_sentences.txt,85,明天要考试了，好紧张。,"明天要考试了,好紧张。"
2df219708b75e5a05f49b248f1e076981d232bb4fcd9a89e15afc52a46947731,exact,normal,data/normal_sentences.txt,16,明天可能会下雨，记得带伞。,data/normal_sentences.txt,67,明天可能会下雨，记得带伞。,"明天可能会下雨,记得带伞。"
301af3e205e3952a75e3b2c6d9d29d85fb2abbaad11ca477c46825adef166e11,exact,normal,data/normal_sentences.txt,17,这个软件怎么安装？,data/normal_sentences.txt,68,这个软件怎么安装？,这个软件怎么安装?
31dad5eede98d781db7e8e874e7483b2502fbb53461421efcdf7f553833e4501,exact,normal,data/normal_sentences.txt,38,你们公司还招人吗？,data/normal_sentences.txt,89,你们公司还招人吗？,你们公司还招人吗?
33c4f2bd0713e9e2458820474afe6e73535f5b49ece9cf9fc9b9c94a8558b4f2,exact,normal,data/normal_sentences.txt,36,周末想去爬山放松一下。,data/normal_sentences.txt,87,周末想去爬山放松一下。,周末想去爬山放松一下。
40e4f4c10efba84eff2534c4d14feb6cd78b06237cefbc1c032957d1dab8fdad,exact,normal,data/normal_sentences.txt,4,请把这份文件打印出来。,data/normal_sentences.txt,55,请把这份文件打印出来。,请把这份文件打印出来。
4c024f84ef1e32fef68b72aae1f27517440c495406a399195df6584f46dbcfc0,exact,normal,data/normal_sentences.txt,47,帮我查一下明天的天气。,data/normal_sentences.txt,98,帮我查一下明天的天气。,帮我查一下明天的天气。
52f2d1f75fd7b5a3467628cebcb9855b0a0fcaa9c6ba8ce94fd9a3c34f3e410e,exact,normal,data/normal_sentences.txt,48,这个方案还需要改一下。,data/normal_sentences.txt,99,这个方案还需要改一下。,这个方案还需要改一下。
5b6914bddf723a1ba4c27715145fba7ebc2639d2a1a0eb44e8f6fe66268d54ee,exact,normal,data/normal_sentences.txt,7,我的快递到了吗？,data/normal_sentences.txt,58,我的快递到了吗？,我的快递到了吗?
5d5150823b1fd77912c90b6e04ffe1b47c69310d632a799a28a76ec4759e6717,exact,normal,data/normal_sentences.txt,45,你平时喜欢什么运动？,data/normal_sentences.txt,96,你平时喜欢什么运动？,你平时喜欢什么运动?
5dd3ebb69213a9a4d0a46aadc1f7f1e55438aea2c5e837c16d415176ee147f81,exact,normal,data/normal_sentences.txt,27,我们什么时候出发？,data/normal_sentences.txt,78,我们什么时候出发？,我们什么时候出发?
5e65af4948441716d87db5e98fcca2c578cdd19132d50631b2bd0b92e239a7df,exact,normal,data/normal_sentences.txt,32,最近有什么好看的电影？,data/normal_sentences.txt,83,最近有什么好看的电影？,最近有什么好看的电影?
6a5ce90d4b9feca2b310a89d90e70264cc1951f2a584e684c13df36c75a276e8,exact,normal,data/normal_sentences.txt,39,我今天买了一本新书。,data/normal_sentences.txt,90,我今天买了一本新书。,我今天买了一本新书。
6c8b8ba23fd979d407f8779c4fd7f2fb4af0a6bd7999b2423051e85521c27283,exact,normal,data/normal_sentences.txt,40,晚饭想吃什么？,data/normal_sentences.txt,91,晚饭想吃什么？,晚饭想吃什么?
74362920e95e17cd06a84e18eae48a880f8b03784500aee971ad9d277dfd8f21,exact,normal,data/normal_sentences.txt,29,百度地图导航挺准的。,data/normal_sentences.txt,80,百度地图导航挺准的。,百度地图导航挺准的。
837b7e869cf6fd3bfdb4afcbc529ac64ae96e61af23b2ef7b1c5e61b37ebe011,exact,normal,data/normal_sentences.txt,6,这道数学题怎么解？我算了好几遍都不对。,data/normal_sentences.txt,57,这道数学题怎么解？我算了好几遍都不对。,这道数学题怎么解?我算了好几遍都不对。
8452b3302b6e55b54a389362533bbf1148789f7c87579dd5723b8c70b9bebdad,exact,normal,data/normal_sentences.txt,12,这个价格有点贵，能不能优惠一点？,data/normal_sentences.txt,63,这个价格有点贵，能不能优惠一点？,"这个价格有点贵,能不能优惠一点?"
8b7f0bce33be38e2dabf0dc0becae3260e2315ffa94423c46a922a91cd96abe7,exact,normal,data/normal_sentences.txt,11,晚上一起去跑步吧。,data/normal_sentences.txt,62,晚上一起去跑步吧。,晚上一起去跑步吧。
